model,id,title,authors,
book.book,151,El perfume: Historia de un asesino,Patrick Sskind,
book.book,152,The Door Into Summer,Robert A. Heinlein,
book.book,153,Stranger in a Strange Land,Robert A. Heinlein,
book.book,154,To Sail Beyond the Sunset,Robert A. Heinlein,
book.book,155,Job: A Comedy of Justice,Robert A. Heinlein,
book.book,156,Time for the Stars (Heinleins Juveniles  #10),Robert A. Heinlein,
book.book,157,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,
book.book,158,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,
book.book,159,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,
book.book,160,Douglas Adamss Starship Titanic,Terry Jones,
book.book,161,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,
book.book,162,The Phantom Tollbooth: A Childrens Play in Two Acts,Susan Nanus/Norton Juster,
book.book,163,On Bullshit,Harry G. Frankfurt,
book.book,164,Another Bullshit Night in Suck City,Nick Flynn,
book.book,165,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,
book.book,166,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,
book.book,167,Underworld,Don DeLillo,
book.book,168,Libra,Don DeLillo,
book.book,169,Americana,Don DeLillo,
book.book,170,Running Dog,Don DeLillo,
book.book,171,Cosmopolis,Don DeLillo,
book.book,172,Great Jones Street,Don DeLillo,
book.book,173,The Names,Don DeLillo,
book.book,174,Against the Day,Thomas Pynchon,
book.book,175,V.,Thomas Pynchon,
book.book,176,The Crying of Lot 49,Thomas Pynchon,
book.book,177,Gravitys Rainbow,Thomas Pynchon,
book.book,178,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,
book.book,179,Vineland,Thomas Pynchon,
book.book,180,Gravitys Rainbow,Thomas Pynchon,
book.book,181,Slow Learner: Early Stories,Thomas Pynchon,
book.book,182,Been Down So Long It Looks Like Up To Me,Richard Faria/Thomas Pynchon,
book.book,183,The Year of Magical Thinking,Joan Didion,
book.book,184,The White Album,Joan Didion,
book.book,185,A Book of Common Prayer,Joan Didion,
book.book,186,Where I Was From,Joan Didion,
book.book,187,Slouching Towards Bethlehem,Joan Didion,
book.book,188,Democracy,Joan Didion,
book.book,189,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,
book.book,190,Play It As It Lays,Joan Didion/David Thomson,
book.book,191,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,
book.book,192,City of Glass (The New York Trilogy  #1),Paul Auster,
book.book,193,Ghosts (The New York Trilogy  #2),Paul Auster,
book.book,194,The Locked Room (The New York Trilogy  #3),Paul Auster,
book.book,195,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,
book.book,196,The Brooklyn Follies,Paul Auster,
book.book,197,Moon Palace,Paul Auster,
book.book,198,The Music of Chance,Paul Auster,
book.book,199,Travels in the Scriptorium,Paul Auster,
book.book,200,Leviathan,Paul Auster,
book.book,201,The Red Notebook: True Stories,Paul Auster,
book.book,202,Timbuktu / Leviathan / Moon Palace,Paul Auster,
book.book,203,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,
book.book,204,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,
book.book,205,Collapse of Complex Societies,Joseph A. Tainter,
book.book,206,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,
book.book,207,The Collapse of the Common Good: How Americas Lawsuit Culture Undermines Our Freedom,Philip K. Howard,
book.book,208,Reinventing the Enemys Language: Contemporary Native Womens Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,
book.book,209,My Inventions,Nikola Tesla,
book.book,210,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,
book.book,211,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,
book.book,212,Tesla Papers,Nikola Tesla/David Hatcher Childress,
book.book,213,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,
book.book,214,Programming Ruby: The Pragmatic Programmers Guide,Dave Thomas/Chad Fowler/Andy Hunt,
book.book,215,Goldings Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,
book.book,216,Lord of the Flies,William Golding,
book.book,217,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,
book.book,218,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,
book.book,219,The Lovely Bones,Alice Sebold,
book.book,220,The Lovely Bones,Alice Sebold,
book.book,221,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,
book.book,222,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,
book.book,223,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,
book.book,224,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,
book.book,225,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,
book.book,226,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,
book.book,227,Vice (V  #8),Jane Feather,
book.book,228,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,
book.book,229,Once Upon a Cool Motorcycle Dude,Kevin OMalley/Carol Heyer/Scott Goto,
book.book,230,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,
book.book,231,Motorcycle Basics Techbook,John Harold Haynes,
book.book,232,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,
book.book,233,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,
book.book,234,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,
book.book,235,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,
book.book,236,Atlas Shrugged,Ayn Rand/Leonard Peikoff,
book.book,237,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,
book.book,238,The Fountainhead,Ayn Rand,
book.book,239,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,
book.book,240,Anthem,Ayn Rand,
book.book,241,We the Living,Ayn Rand/Leonard Peikoff,
book.book,242,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,
book.book,243,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,
book.book,244,Sailing for Dummies,J.J. Isler/Peter Isler,
book.book,245,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,
book.book,246,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,
book.book,247,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,
book.book,248,"Natural Cures ""They"" Dont Want You to Know about",Kevin Trudeau,
book.book,249,The Natural,Bernard Malamud/Kevin Baker,
book.book,250,Digging to America,Anne Tyler,
book.book,251,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,
book.book,252,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,
book.book,253,The Plot Against America,Philip Roth,
book.book,254,Naked Pictures of Famous People,Jon   Stewart,
book.book,255,Collected Stories,Gabriel Garc­a M¡rquez/Gregory Rabassa/J.S. Bernstein,
book.book,256,Crnica de una muerte anunciada,Gabriel Garc­a M¡rquez,
book.book,257,Cien aos de soledad,Gabriel Garc­a M¡rquez,
book.book,258,Del amor y otros demonios,Gabriel Garc­a M¡rquez,
book.book,259,Living to Tell the Tale,Gabriel Garc­a M¡rquez/Edith Grossman,
book.book,260,Memoria de mis putas tristes,Gabriel Garc­a M¡rquez,
book.book,261,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,
book.book,262,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,
book.book,263,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,
book.book,264,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,
book.book,265,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,
book.book,266,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,
book.book,267,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,
book.book,268,Cryptonomicon,Neal Stephenson,
book.book,269,Le Rseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,
book.book,270,The Confusion (The Baroque Cycle  #2),Neal Stephenson,
book.book,271,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,
book.book,272,The Cobweb,Neal Stephenson/J. Frederick George,
book.book,273,The Big U,Neal Stephenson,
book.book,274,The Diamond Age: Or  A Young Ladys Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,
book.book,275,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,
book.book,276,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,
book.book,277,Snow Crash,Neal Stephenson/Guy Abadia,
book.book,278,Harrington on Hold em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,
book.book,279,Harrington on Hold em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,
book.book,280,The Design of Everyday Things,Donald A. Norman,
book.book,281,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,
book.book,282,The Psychology of Everyday Things,Donald A. Norman,
